user	item	topic	rating				topic	rating		user	topic	rating
41	39	2	4.296656921				0	2.64839563		41	2	4.296656921
44	20	3	1				0	3.513807654		44	3	1
31	2	0	2.64839563				0	3.515761821		31	0	2.64839563
47	32	2	4.133289687				0	2.876752864		47	2	4.133289687
5	47	0	3.513807654				0	3.30277207		5	0	3.513807654
30	14	0	3.515761821				0	3.849305567		30	0	3.515761821
10	25	4	5				0	2.992801705		10	4	5
36	14	0	2.876752864				0	5		36	0	2.876752864
19	11	4	3.752058194				0	2.167036555		19	4	3.752058194
38	38	4	1				0	5		38	4	1
47	10	0	3.30277207				0	4.915618452		47	0	3.30277207
0	2	0	3.849305567				0	2.546296122		0	0	3.849305567
24	49	3	2.536953885				0	3.821419374		24	3	2.536953885
29	42	0	2.992801705				0	4.005910427		29	0	2.992801705
21	10	0	5				0	4.194174954		21	0	5
49	38	4	4.687691951				0	3.375358238		49	4	4.687691951
6	16	0	2.167036555				0	5		6	0	2.167036555
5	36	0	5				0	5		5	0	5
25	12	4	2.415464053				0	3.404883958		25	4	2.415464053
42	47	0	4.915618452				0	1.848430816		42	0	4.915618452
2	8	3	2.812465542				0	2.335078038		2	3	2.812465542
10	34	3	5				0	5		10	3	5
40	2	0	2.546296122				0	1.426756225		40	0	2.546296122
14	33	4	5				0	3.126634434		14	4	5
46	16	0	3.821419374				0	4.142604736		46	0	3.821419374
4	18	3	2.528991181				0	5		4	3	2.528991181
28	19	3	5				0	3.699027961		28	3	5
11	28	0	4.005910427				0	5		11	0	4.005910427
36	42	0	4.194174954				0	5		36	0	4.194174954
25	21	0	3.375358238				0	3.841086224		25	0	3.375358238
12	16	0	5				0	4.140694828		12	0	5
15	21	0	5				0	1.543161646		15	0	5
36	26	1	5				0	2.141767224		36	1	5
28	32	2	4.701269513				0	4.026139648		28	2	4.701269513
40	36	0	3.404883958				0	5		40	0	3.404883958
25	48	0	1.848430816				0	5		25	0	1.848430816
30	12	4	4.762121693				0	1.621467207		30	4	4.762121693
48	23	0	2.335078038				0	3.923194896		48	0	2.335078038
3	30	0	5				0	5		3	0	5
23	1	3	1.981602579				0	2.215099871		23	3	1.981602579
6	49	3	1.832041207				0	4.085964512		6	3	1.832041207
38	11	4	1.071286791				0	4.142743849		38	4	1.071286791
28	31	0	1.426756225				0	1		28	0	1.426756225
5	45	4	2.170923834				0	5		5	4	2.170923834
46	2	0	3.126634434				0	4.376402051		46	0	3.126634434
11	47	0	4.142604736				0	1.775850473		11	0	4.142604736
20	28	0	5				0	2.095502283		20	0	5
4	36	0	3.699027961				0	2.601198328		4	0	3.699027961
44	47	0	5				0	5		44	0	5
42	31	0	5				0	1.721941643		42	0	5
32	45	4	3.337443166				0	5		32	4	3.337443166
42	10	0	3.841086224				0	1.031452905		42	0	3.841086224
16	16	0	4.140694828				0	1		16	0	4.140694828
48	39	2	1.433309333				0	3.661798615		48	2	1.433309333
22	36	0	1.543161646				0	3.392854764		22	0	1.543161646
19	49	3	1.337041133				0	3.317250023		19	3	1.337041133
49	32	2	2.757817447				0	2.601428223		49	2	2.757817447
47	46	3	3.09046429				0	1.301985992		47	3	3.09046429
3	28	0	2.141767224				0	4.246913929		3	0	2.141767224
0	14	0	4.026139648				0	5		0	0	4.026139648
40	46	3	1.350381889				0	5		40	3	1.350381889
20	7	0	5				0	2.994492597		20	0	5
42	8	3	2.06488759				0	5		42	3	2.06488759
37	4	1	4.712030675				0	3.906694038		37	1	4.712030675
26	9	0	5				0	1.587808788		26	0	5
28	16	0	1.621467207				0	1.563002443		28	0	1.621467207
1	45	4	1				0	1.913055424		1	4	1
31	47	0	3.923194896				0	4.315193658		31	0	3.923194896
44	30	0	5				0	1		44	0	5
25	8	3	1.058904263				0	2.308608893		25	3	1.058904263
25	39	2	1.513074443				0	4.272400126		25	2	1.513074443
43	22	3	4.433832216				0	1.908629185		43	3	4.433832216
1	29	3	5				0	4.976034269		1	3	5
21	34	3	5				0	5		21	3	5
14	28	0	2.215099871				0	3.977378227		14	0	2.215099871
29	10	0	4.085964512				0	3.373148446		29	0	4.085964512
40	27	2	2.681019127				0	2.136299507		40	2	2.681019127
39	24	3	1.339223549				0	1		39	3	1.339223549
32	37	2	1.49521843				0	3.041817547		32	2	1.49521843
3	24	3	5				0	3.669699596		3	3	5
46	4	1	1.452657311				0	4.4688724		46	1	1.452657311
42	30	0	4.142743849				0	4.157238101		42	0	4.142743849
13	24	3	3.430383997				0	4.311670813		13	3	3.430383997
44	12	4	1.938913652				0	3.337838681		44	4	1.938913652
12	43	3	5				0	5		12	3	5
49	33	4	4.496652416				0	4.270129264		49	4	4.496652416
8	39	2	4.576588955				0	1		8	2	4.576588955
0	4	1	4.889416277				0	1.919060892		0	1	4.889416277
4	45	4	3.407979608				0	5		4	4	3.407979608
31	39	2	5				0	5		31	2	5
49	19	3	1.956289038				0	1		49	3	1.956289038
48	38	4	2.4742851				0	3.674997464		48	4	2.4742851
40	2	0	1				0	5		40	0	1
42	15	2	3.723736978				0	1		42	2	3.723736978
19	8	3	3.590628468				0	2.802519856		19	3	3.590628468
20	44	2	1				0	3.494511756		20	2	1
41	8	3	3.822810316				0	1.785987419		41	3	3.822810316
44	49	3	1.417140919				0	2.731177102		44	3	1.417140919
15	41	0	5				0	1.996799002		15	0	5
16	34	3	1.391988919				0	1.655959694		16	3	1.391988919
44	10	0	4.376402051				0	3.36425036		44	0	4.376402051
46	12	4	1				0	5		46	4	1
6	42	0	1.775850473				0	3.886897159		6	0	1.775850473
30	29	3	3.064151374				0	5		30	3	3.064151374
2	27	2	3.656771225				0	4.011555273		2	2	3.656771225
21	18	3	5				0	3.761297742		21	3	5
1	9	0	2.095502283				0	4.00136425		1	0	2.095502283
8	0	1	3.907899513				0	2.757835079		8	1	3.907899513
49	1	3	2.893036276				0	5		49	3	2.893036276
37	10	0	2.601198328				0	2.766085708		37	0	2.601198328
47	35	3	3.111274622				0	2.66608383		47	3	3.111274622
22	46	3	2.863322803				0	4.061571238		22	3	2.863322803
2	15	2	4.615522142				0	4.179693909		2	2	4.615522142
12	10	0	5				0	5		12	0	5
43	11	4	4.384823959				0	5		43	4	4.384823959
35	8	3	2.310924801				0	3.711871545		35	3	2.310924801
38	27	2	1.743469635				0	4.782102068		38	2	1.743469635
10	48	0	1.721941643				0	4.945888083		10	0	1.721941643
15	48	0	5				0	3.535456772		15	0	5
8	46	3	1.457784033				0	5		8	3	1.457784033
47	25	4	1				0	1		47	4	1
25	24	3	1.893252061				0	5		25	3	1.893252061
8	0	1	3.899518709				0	2.349692608		8	1	3.899518709
32	5	4	2.87224269				0	5		32	4	2.87224269
49	17	4	5				0	4.636703867		49	4	5
19	12	4	4.853867776				0	3.78914397		19	4	4.853867776
40	13	2	3.226978799				0	5		40	2	3.226978799
10	20	3	3.62497852				0	2.330307606		10	3	3.62497852
30	16	0	1.031452905				0	1		30	0	1.031452905
31	27	2	5				0	3.418351661		31	2	5
21	25	4	1.683027714				0	2.292933958		21	4	1.683027714
22	14	0	1				0	1.954497925		22	0	1
20	39	2	1				0	3.377851357		20	2	1
13	39	2	5				0	4.304260049		13	2	5
10	18	3	4.593454826				0	5		10	3	4.593454826
4	20	3	3.853016038				0	5		4	3	3.853016038
42	41	0	3.661798615				0	1.439746988		42	0	3.661798615
45	40	0	3.392854764				0	1.5213706		45	0	3.392854764
14	42	0	3.317250023				0	3.231623678		14	0	3.317250023
17	44	2	5				0	4.34868477		17	2	5
7	15	2	5				0	2.424862047		7	2	5
34	13	2	4.25390027				0	3.275422263		34	2	4.25390027
10	14	0	2.601428223				0	1.553947826		10	0	2.601428223
3	19	3	5				0	2.779472567		3	3	5
35	36	0	1.301985992				0	5		35	0	1.301985992
46	38	4	1				0	5		46	4	1
39	34	3	1.959988309				0	1.64623638		39	3	1.959988309
26	39	2	1				0	3.945722547		26	2	1
0	40	0	4.246913929				0	4.370083221		0	0	4.246913929
6	24	3	1.330239306				0	3.993647836		6	3	1.330239306
7	14	0	5				0	2.234164141		7	0	5
24	26	1	3.704496384				0	5		24	1	3.704496384
17	5	4	3.713522202				0	1.188483452		17	4	3.713522202
9	7	0	5				0	1.327571024		9	0	5
41	27	2	3.030874719				0	5		41	2	3.030874719
1	10	0	2.994492597				0	1.489753215		1	0	2.994492597
23	48	0	5				0	4.18668457		23	0	5
13	29	3	1.678127534				0	1.470677904		13	3	1.678127534
3	3	3	5				0	5		3	3	5
45	29	3	3.074042274				0	3.838992829		45	3	3.074042274
25	49	3	2.722380643				0	5		25	3	2.722380643
2	9	0	3.906694038				0	4.713273504		2	0	3.906694038
13	4	1	3.357528117				0	2.609286925		13	1	3.357528117
28	11	4	2.335858567				0	4.495446803		28	4	2.335858567
43	48	0	1.587808788				0	3.7494969		43	0	1.587808788
24	3	3	1.900169959				0	3.999247869		24	3	1.900169959
49	45	4	5				0	3.223025336		49	4	5
38	35	3	1.652087666				0	2.072453326		38	3	1.652087666
26	0	1	3.278034864				0	4.426420826		26	1	3.278034864
47	35	3	4.190457369				0	2.55660479		47	3	4.190457369
27	13	2	2.226304739				0	2.607502531		27	2	2.226304739
13	39	2	3.871263642				0	2.462472683		13	2	3.871263642
20	25	4	4.707471397				0	1.137045858		20	4	4.707471397
10	3	3	4.978872905				0	3.845065346		10	3	4.978872905
33	38	4	5				0	2.112012024		33	4	5
48	48	0	1.563002443				0	5		48	0	1.563002443
6	48	0	1.913055424				0	2.037040977		6	0	1.913055424
8	38	4	5				0	3.139389184		8	4	5
24	28	0	4.315193658				0	2.626556025		24	0	4.315193658
11	38	4	5				0	4.10841546		11	4	5
32	4	1	1				0	5		32	1	1
39	24	3	1				0	4.15751868		39	3	1
26	35	3	2.539577697				0	1.407505992		26	3	2.539577697
14	12	4	5				0	1.716675682		14	4	5
20	0	1	3.044881885				0	5		20	1	3.044881885
23	33	4	1				0	1		23	4	1
12	13	2	1.0943992				0	3.424383456		12	2	1.0943992
28	40	0	1				0	3.324695797		28	0	1
16	19	3	1				0	5		16	3	1
19	39	2	4.372885078				0	3.286767832		19	2	4.372885078
1	39	2	3.805479452				0	5		1	2	3.805479452
11	32	2	5				0	3.88815166		11	2	5
2	25	4	3.683355573				0	1		2	4	3.683355573
6	18	3	1.829466084				0	2.389376722		6	3	1.829466084
34	11	4	3.239534494				0	4.633997444		34	4	3.239534494
32	20	3	5				0	1.040446909		32	3	5
25	7	0	2.308608893				0	5		25	0	2.308608893
46	21	0	4.272400126				0	3.784000492		46	0	4.272400126
40	6	3	1.455523415				0	3.62700023		40	3	1.455523415
43	25	4	4.454867125				0	3.837811305		43	4	4.454867125
34	9	0	1.908629185				0	4.436182784		34	0	1.908629185
27	13	2	2.235481697				0	1.395118295		27	2	2.235481697
15	14	0	4.976034269				0	5		15	0	4.976034269
39	12	4	5				0	3.900471155		39	4	5
12	10	0	5				0	4.936011343		12	0	5
44	5	4	3.279693751				0	4.316011014		44	4	3.279693751
5	5	4	2.053399863				0	5		5	4	2.053399863
35	0	1	5				0	1.855514044		35	1	5
2	43	3	3.407428425				0	5		2	3	3.407428425
21	15	2	5				0	4.835862062		21	2	5
24	47	0	3.977378227				0	3.492806274		24	0	3.977378227
43	23	0	3.373148446				0	5		43	0	3.373148446
